cleaned_title,frequency,most_recent,freq_rank
skype shuts down after 23 years,1,,1
epic games and spotify test apple’s new app store rules,1,2025-05-09,1
"microsoft employees are banned from using deepseek app, president says",1,2025-05-08,1
hugging face releases a free operator-like agentic ai tool,1,2025-05-06,1
"ai has opened a new era in venture capital, according to forerunner founder kirsten green",1,,1
one of elon musk’s longtime vcs is suing his former employer after allegedly being fired,1,2025-05-08,1
is duolingo the face of an ai jobs crisis?,1,2025-05-04,1
"alphabet earnings live updates: ai, gemini 2.0, google cloud, and more",1,,1
the department of labor just dropped its investigation into scale ai,1,2025-05-09,1
"google i/o 2025: what to expect, including updates to gemini and android 16",1,2025-05-09,1
